SP_ENTITY_NAME,SP_ENTITY_ID,SP_MARKETCAP,SP_TOTAL_REV,SP_ROE,SNL_GROSS_MARGIN,SNL_NET_MARGIN,IQ_EBITDA_MARGIN,IQ_DEBT_TO_EQUITY,IQ_TOTAL_DEBT,IQ_TOTAL_ASSETS,IQ_PE,SNL_DIV_YLD_PAID_REGULAR,IQ_ROA,IQ_EBIT_INT
American Tower Corporation (NYSE:AMT),4290489,"89,108.21","10,262,400",21.96,NA,NA,65.54,455.54,"43,954,100","61,077,400",68.70,3.53,4.53,3.28
"AvalonBay Communities, Inc. (NYSE:AVB)",103145,"26,883.18","2,990,646",9.17,NA,NA,61.17,69.09,"8,250,531","21,000,737",23.24,3.09,2.90,4.27
Bank of America Corporation (NYSE:BAC),100369,"379,370.88","101,887,000",9.23,NA,NA,NA,NA,"717,447,000","3,261,519,000",14.15,2.37,0.84,NA
"BlackRock, Inc. (NYSE:BLK)",4048287,"174,487.50","20,407,000",14.38,NA,NA,40.22,28.82,"14,222,000","138,615,000",28.96,1.99,3.67,14.27
JPMorgan Chase & Co. (NYSE:JPM),100201,"801,796.79","169,463,000",17.38,NA,NA,NA,NA,"827,030,000","4,002,814,000",14.59,2.09,1.48,NA
"Prologis, Inc. (NYSE:PLD)",103146,"116,798.07","8,380,125",6.82,NA,NA,70.51,53.73,"31,494,568","95,328,909",36.61,3.63,2.29,4.00
Realty Income Corporation (NYSE:O),103118,"55,059.51","5,305,961",2.27,NA,NA,90.15,68.31,"26,677,340","68,835,039",58.69,5.92,2.30,2.29
"Simon Property Group, Inc. (NYSE:SPG)",103117,"58,347.52","6,205,338",80.41,NA,NA,74.17,688.57,"24,784,778","32,405,691",27.61,4.88,5.80,3.41
"The Goldman Sachs Group, Inc. (NYSE:GS)",4039450,"237,631.37","53,512,000",11.89,NA,NA,NA,611.11,"747,975,000","1,675,972,000",15.06,2.10,0.86,NA
Wells Fargo & Company (NYSE:WFC),100382,"265,959.19","82,296,000",10.86,NA,NA,NA,NA,"302,642,000","1,929,845,000",13.91,2.28,1.03,NA
